"","TERMINO","SOCIOS"
"1","flavors","finish"
"2","flavors","fruit"
"3","flavors","oak"
"4","flavors","good"
"5","fruit","flavors"
"6","fruit","shows"
"7","aromas","palate"
"8","aromas","finish"
"9","palate","aromas"
"10","palate","nose"
"11","palate","offers"
"12","palate","finish"
"13","finish","flavors"
"14","finish","aromas"
"15","finish","palate"
"16","acidity","crisp"
"17","acidity","ripe"
"18","acidity","drink"
"19","tannins","black"
"20","tannins","firm"
"21","tannins","cherry"
"22","drink","ripe"
"23","drink","fruits"
"24","drink","now"
"25","drink","ready"
"26","drink","acidity"
"27","cherry","raspberry"
"28","cherry","black"
"29","cherry","red"
"30","cherry","cola"
"31","cherry","cranberry"
"32","cherry","tannins"
"33","cherry","spice"
"34","ripe","drink"
"35","ripe","acidity"
"36","ripe","rich"
"37","black","tannins"
"38","black","cherry"
"39","black","dark"
"40","black","pepper"
"41","red","cherry"
"42","spice","cherry"
"43","oak","flavors"
"44","oak","new"
"45","nose","palate"
"46","now","drink"
"47","rich","ripe"
"48","blend","sauvignon"
"49","apple","pear"
"50","apple","lemon"
"51","apple","chardonnay"
"52","fruits","drink"
